RSSI0 OMNI,RSSI1 OMNI,CINR0 OMNI,CINR1 OMNI,RSSI0 PARABOLIC,RSSI1 PARABOLIC,CINR0 PARABOLIC,CINR1 PARABOLIC,Radio Distance Clean,Radio Distance Noise,GPS Distance Clean,GPS Distance Noise,Longitude,Latitude,Drone Speed,Drone Climb,Drone Altitude,Barometer Altitude,Home to drone bearing,Home to drone elevation,Accelerometer,GPS Spoofing
-80,-81,24,24,-66,-65,41,40,4366.510431,4378.216099,4366.510431,4357.558055,34.777908,31.968554,0,0,-0.052002,0.134205,181.417608,0,0,0
-81,-82,24,24,-65,-65,40,40,4366.492836,4406.469898,4366.492836,4368.774864,34.777926,31.968453,1.487359,1.486953,0.331924,0.883503,181.417614,0.010704,1.487359,0
-82,-82,24,24,-66,-67,40,40,4366.440965,4408.034352,4366.440965,4356.087613,34.777914,31.968567,2.974719,2.973905,1.868739,3.425458,181.417631,0.042817,1.487359,0
-81,-83,24,24,-65,-65,40,41,4366.357563,4332.941584,4366.357563,4363.55126,34.777903,31.968501,4.462078,4.460858,7.650204,7.321487,181.417659,0.096339,1.487359,0
-81,-81,24,24,-64,-65,40,42,4366.2472,4324.713185,4366.2472,4365.504566,34.777924,31.968483,5.949438,5.94781,13.111161,13.162741,181.417699,0.171275,1.487359,0
-81,-81,24,24,-65,-65,40,40,4366.116281,4414.476267,4366.116281,4371.532271,34.777813,31.968431,7.436797,7.434763,18.561484,20.284833,181.41775,0.267625,1.487359,0
-81,-82,24,24,-63,-65,40,39,4365.973037,4346.919833,4365.973037,4360.668273,34.777904,31.968527,8.924157,8.921715,30.212092,29.183866,181.417812,0.385394,1.487359,0
-81,-81,24,24,-64,-65,41,40,4365.827533,4284.528434,4365.827533,4369.124544,34.77786,31.968453,10.411516,10.408668,40.63669,39.975986,181.417885,0.524584,1.487359,0
-81,-81,24,24,-65,-65,40,40,4365.640632,4361.289832,4365.640632,4361.799352,34.777842,31.96852,11.898875,-0.041399,47.503235,47.684902,181.41797,0.624495,1.487359,0
-80,-81,24,25,-65,-65,40,41,4362.727919,4249.538527,4362.727919,4371.028067,34.777962,31.968434,11.918148,-0.041466,47.822125,47.525001,181.266396,0.624315,0.019273,0
-81,-80,25,24,-65,-64,40,40,4359.841149,4263.003003,4359.841149,4364.770752,34.778181,31.968487,11.937421,-0.041533,48.619343,47.456022,181.114375,0.62413,0.019273,0
-81,-81,25,24,-65,-65,40,40,4356.980533,4304.833622,4356.980533,4351.372056,34.778243,31.968606,11.956694,-0.0416,47.070503,47.441739,180.961907,0.623941,0.019273,0
-80,-81,25,23,-65,-65,40,40,4354.146281,4295.937048,4354.146281,4352.379035,34.778367,31.968595,11.975967,-0.041667,48.233327,47.411301,180.808994,0.623747,0.019273,0
-81,-80,24,24,-65,-64,40,40,4351.338604,4374.690986,4351.338604,4354.656364,34.778442,31.968574,11.99524,-0.041734,47.350685,47.34168,180.655635,0.623548,0.019273,0
-81,-80,24,24,-66,-64,40,39,4348.557712,4397.969474,4348.557712,4349.581274,34.778589,31.968618,12.014513,-0.041801,47.042344,47.410088,180.501833,0.623345,0.019273,0
-81,-82,24,25,-65,-65,40,40,4345.803816,4349.747186,4345.803816,4345.34772,34.778786,31.968655,12.033786,-0.041868,46.584175,47.463653,180.347588,0.623137,0.019273,0
-81,-81,24,25,-65,-66,40,40,4343.077129,4324.498431,4343.077129,4343.309293,34.778853,31.968673,12.053059,-0.041935,47.156392,47.374391,180.1929,0.622924,0.019273,0
-81,-81,24,25,-65,-65,40,40,4340.377861,4356.959582,4340.377861,4345.615385,34.779027,31.968652,12.072332,-0.042002,46.002415,47.173975,180.037771,0.622706,0.019273,0
-82,-81,24,24,-65,-65,40,41,4337.706224,4323.286132,4337.706224,4339.844868,34.779166,31.968704,12.091605,-0.042069,46.755057,47.178827,179.882202,0.622483,0.019273,0
-81,-81,24,23,-65,-66,41,40,4335.062431,4333.383719,4335.062431,4343.559417,34.779348,31.968671,12.110878,-0.042137,47.169251,47.051942,179.726194,0.622256,0.019273,0
-81,-81,24,24,-66,-65,40,41,4332.446695,4341.039362,4332.446695,4330.030151,34.779387,31.968793,12.130151,-0.042204,48.054071,46.979151,179.569748,0.622023,0.019273,0
-81,-81,24,24,-65,-65,40,39,4329.859227,4337.3462,4329.859227,4324.776657,34.779474,31.968841,12.149424,-0.042271,47.321735,47.084961,179.412864,0.621785,0.019273,0
-81,-81,24,23,-64,-65,40,40,4327.300241,4298.108374,4327.300241,4330.188261,34.779635,31.968793,12.168697,-0.042338,45.718024,47.169291,179.255545,0.621542,0.019273,0
-80,-81,24,24,-64,-65,40,41,4324.76995,4313.326206,4324.76995,4322.56312,34.779892,31.968865,12.18797,-0.042405,46.272122,46.951298,179.097791,0.621295,0.019273,0
-83,-81,23,24,-65,-66,39,40,4322.268568,4302.720004,4322.268568,4321.09594,34.779841,31.968878,12.207243,-0.042472,46.549622,46.866337,178.939603,0.621042,0.019273,0
-80,-81,24,24,-65,-65,40,40,4319.796306,4389.627998,4319.796306,4319.859256,34.780041,31.968892,12.226516,-0.042539,46.595741,46.806663,178.780983,0.620784,0.019273,0
-82,-80,24,24,-64,-64,40,39,4317.35338,4448.471,4317.35338,4316.153996,34.780138,31.968927,12.245789,-0.042606,46.733703,46.580947,178.621932,0.620521,0.019273,0
-81,-80,24,24,-65,-65,40,40,4314.940004,4323.736284,4314.940004,4317.250379,34.780301,31.968921,12.265062,-0.042673,46.546932,46.848819,178.462451,0.620252,0.019273,0
-81,-79,24,24,-65,-65,40,40,4312.55639,4302.838359,4312.55639,4315.334588,34.780392,31.96894,12.284335,-0.04274,47.022298,46.662161,178.302542,0.619978,0.019273,0
-81,-80,24,24,-65,-65,40,40,4310.202753,4255.463421,4310.202753,4307.780267,34.780574,31.969013,12.303608,-0.042807,46.721928,46.601336,178.142205,0.6197,0.019273,0
-81,-82,26,24,-65,-65,38,40,4307.879307,4310.976112,4307.879307,4310.718623,34.780616,31.968988,12.322881,-0.042874,46.737072,46.615153,177.981443,0.619415,0.019273,0
-81,-82,24,23,-67,-66,41,40,4305.586266,4290.985926,4305.586266,4303.953103,34.780753,31.969053,12.342154,-0.042941,46.399724,46.522293,177.820257,0.619126,0.019273,0
-79,-81,24,26,-66,-65,42,40,4303.323845,4357.389041,4303.323845,4299.624137,34.780925,31.969098,12.361427,-0.043008,46.105036,46.579379,177.658647,0.618831,0.019273,0
-80,-81,23,24,-65,-66,39,40,4301.092258,4336.230867,4301.092258,4304.242604,34.781031,31.96906,12.3807,-0.043075,46.550411,46.422272,177.496617,0.61853,0.019273,0
-81,-80,24,24,-65,-65,40,39,4298.891719,4384.876622,4298.891719,4294.720975,34.781113,31.969149,12.399973,-0.043142,46.893833,46.443986,177.334167,0.618224,0.019273,0
-81,-81,24,24,-65,-65,40,39,4296.722443,4276.669437,4296.722443,4311.465453,34.781311,31.969006,12.419246,-0.043209,46.16329,46.400333,177.171299,0.617913,0.019273,0
-81,-81,24,25,-65,-65,42,41,4294.584643,4294.046947,4294.584643,4282.579931,34.781367,31.969268,12.438519,-0.043276,46.812193,46.163344,177.008014,0.617596,0.019273,0
-80,-81,24,23,-65,-65,40,40,4292.478536,4283.995754,4292.478536,4294.575258,34.781586,31.96917,12.457792,-0.043344,45.936433,46.141095,176.844314,0.617274,0.019273,0
-81,-81,24,24,-65,-65,40,41,4290.404334,4256.147862,4290.404334,4287.87232,34.781708,31.969236,12.477065,-0.043411,45.699772,46.251497,176.680201,0.616946,0.019273,0
-81,-80,24,23,-65,-64,40,40,4288.362253,4273.884215,4288.362253,4295.391651,34.781826,31.969175,12.496338,-0.043478,46.319719,46.118299,176.515677,0.616612,0.019273,0
-81,-81,24,24,-65,-65,41,40,4286.352506,4276.35046,4286.352506,4282.74895,34.78195,31.969295,12.515611,-0.043545,46.630683,45.973247,176.350743,0.616273,0.019273,0
-82,-80,24,24,-65,-65,41,39,4284.375309,4288.178138,4284.375309,4281.138227,34.782003,31.969312,12.534884,-0.043612,46.538828,45.963805,176.185401,0.615928,0.019273,0
-80,-81,25,24,-65,-68,39,40,4282.430874,4316.867383,4282.430874,4285.326858,34.782115,31.969281,12.554157,-0.043679,45.735347,45.897261,176.019653,0.615578,0.019273,0
-81,-81,24,23,-65,-64,41,40,4280.519416,4267.398048,4280.519416,4283.129024,34.782364,31.969316,12.57343,-0.043746,46.35991,45.929339,175.853501,0.615222,0.019273,0
-80,-81,24,24,-65,-65,40,39,4278.64115,4269.230232,4278.64115,4278.231777,34.78239,31.969361,12.592703,-0.043813,45.373514,46.032819,175.686947,0.614859,0.019273,0
-82,-82,24,25,-65,-65,39,40,4276.796288,4262.973504,4276.796288,4278.355771,34.782592,31.969373,12.611976,-0.04388,46.097528,45.8064,175.519993,0.614492,0.019273,0
-81,-83,23,24,-65,-66,40,40,4274.985045,4278.632266,4274.985045,4277.246553,34.782657,31.969388,12.631249,-0.043947,45.702175,45.767738,175.35264,0.614118,0.019273,0
-81,-81,24,24,-65,-65,41,40,4273.207635,4244.121543,4273.207635,4271.656159,34.782873,31.969453,12.650522,-0.044014,45.333383,45.601803,175.184891,0.613738,0.019273,0
-81,-79,24,24,-65,-65,40,39,4271.464269,4168.300425,4271.464269,4273.160293,34.78304,31.969452,12.669795,-0.044081,45.90995,45.735789,175.016748,0.613353,0.019273,0
-82,-81,25,24,-65,-64,40,40,4269.755162,4270.320298,4269.755162,4268.804728,34.783124,31.969497,12.689068,-0.044148,45.803134,45.725284,174.848212,0.612962,0.019273,0
-81,-81,24,24,-66,-65,40,40,4268.080527,4268.927664,4268.080527,4267.993929,34.783175,31.969509,12.708341,-0.044215,45.766691,45.586464,174.679287,0.612565,0.019273,0
-81,-81,24,24,-64,-65,40,40,4266.440575,4268.262985,4266.440575,4264.536629,34.783362,31.969555,12.727614,-0.044282,46.049645,45.468937,174.509974,0.612161,0.019273,0
-81,-80,24,23,-65,-65,40,39,4264.83552,4286.786357,4264.83552,4258.374883,34.783502,31.969622,12.746887,-0.044349,46.100459,45.494848,174.340275,0.611752,0.019273,0
-80,-81,24,25,-65,-65,40,40,4263.265574,4266.537004,4263.265574,4264.745668,34.783667,31.969579,12.76616,-0.044416,44.648534,45.405867,174.170193,0.611337,0.019273,0
-82,-81,26,23,-65,-65,41,40,4261.730948,4222.832984,4261.730948,4264.854188,34.783758,31.969586,12.785433,-0.044483,44.994468,45.430672,173.99973,0.610916,0.019273,0
-81,-81,25,24,-65,-65,40,41,4260.231854,4307.688935,4260.231854,4260.397271,34.78392,31.969641,12.804706,-0.044551,45.459139,45.412431,173.828889,0.610489,0.019273,0
-81,-81,24,25,-63,-65,40,40,4258.768503,4258.50188,4258.768503,4256.054351,34.784013,31.969688,12.823979,-0.044618,45.133579,45.361221,173.657671,0.610055,0.019273,0
-82,-80,23,25,-63,-65,40,41,4257.341107,4257.470567,4257.341107,4251.258312,34.784247,31.969754,12.843252,-0.044685,45.181918,45.382213,173.486079,0.609616,0.019273,0
-80,-81,25,25,-65,-65,40,40,4255.949875,4277.901854,4255.949875,4252.60871,34.784259,31.969743,12.862525,-0.044752,44.981697,45.230952,173.314116,0.60917,0.019273,0
-81,-81,25,23,-64,-65,40,40,4254.595017,4168.059041,4254.595017,4259.771499,34.784479,31.969701,12.881797,-0.044819,43.868384,45.124477,173.141784,0.608718,0.019273,0
-81,-81,26,24,-64,-65,40,41,4253.276744,4266.34541,4253.276744,4250.2421,34.784539,31.969793,12.90107,-0.044886,44.552373,45.073238,172.969085,0.60826,0.019273,0
-81,-81,25,24,-65,-64,40,41,4251.995265,4267.409787,4251.995265,4257.730786,34.784664,31.969738,12.920343,-0.044953,45.327195,45.179233,172.796022,0.607796,0.019273,0
-79,-81,23,24,-67,-65,39,40,4250.750788,4294.495405,4250.750788,4251.13934,34.784781,31.969811,12.939616,-0.04502,45.675116,45.075328,172.622598,0.607325,0.019273,0
-82,-81,24,24,-64,-65,39,40,4249.543522,4172.680849,4249.543522,4246.848256,34.784956,31.969869,12.958889,-0.045087,44.525002,44.952577,172.448816,0.606849,0.019273,0
-81,-81,23,25,-63,-65,40,40,4248.373675,4158.680253,4248.373675,4248.053143,34.785092,31.969873,12.978162,-0.045154,45.317262,44.909024,172.274677,0.606366,0.019273,0
-81,-84,24,25,-65,-64,40,40,4247.241455,4227.226948,4247.241455,4241.060362,34.785212,31.969951,12.997435,-0.045221,44.87341,44.867703,172.100186,0.605876,0.019273,0
-81,-82,23,24,-65,-66,41,41,4246.147067,4379.024242,4246.147067,4252.591005,34.785417,31.969871,13.016708,-0.045288,44.333081,45.103392,171.925344,0.605381,0.019273,0
-80,-81,24,24,-65,-65,39,40,4245.09072,4283.023763,4245.09072,4246.943844,34.785492,31.969931,13.035981,-0.045355,44.190014,44.808466,171.750154,0.604878,0.019273,0
-81,-81,24,25,-66,-66,40,40,4244.072617,4241.422917,4244.072617,4246.253481,34.785577,31.969948,13.055254,-0.045422,44.272196,44.653047,171.574619,0.60437,0.019273,0
-81,-80,25,25,-65,-64,40,39,4243.092966,4159.739028,4243.092966,4245.183836,34.785814,31.969987,13.074527,-0.045489,44.98108,44.752147,171.398742,0.603855,0.019273,0
-81,-82,23,25,-65,-65,40,39,4242.15197,4372.154585,4242.15197,4239.610663,34.785883,31.970047,13.0938,-0.045556,44.591732,44.658077,171.222526,0.603334,0.019273,0
-81,-81,24,24,-65,-65,40,41,4241.249833,4209.644522,4241.249833,4251.861137,34.78609,31.969963,13.113073,-0.045623,44.239692,44.690592,171.045974,0.602806,0.019273,0
-81,-81,24,24,-64,-65,40,40,4240.38676,4217.414586,4240.38676,4236.040509,34.786162,31.970117,13.132346,-0.04569,45.034062,44.527749,170.869088,0.602272,0.019273,0
-81,-81,22,24,-65,-65,40,39,4239.562952,4270.225618,4239.562952,4240.412998,34.786283,31.970093,13.151619,-0.045758,43.756331,44.58328,170.691873,0.601732,0.019273,0
-81,-83,24,23,-64,-66,40,40,4238.778611,4123.003746,4238.778611,4245.775375,34.786444,31.970067,13.170892,-0.045825,45.115991,44.644922,170.51433,0.601185,0.019273,0
-81,-81,24,24,-64,-65,40,40,4238.033941,4249.165348,4238.033941,4230.843395,34.786542,31.970217,13.190165,-0.045892,45.19541,44.446106,170.336463,0.600631,0.019273,0
-81,-81,24,24,-65,-64,40,40,4237.32914,4196.945515,4237.32914,4242.159082,34.786742,31.970143,13.209438,-0.045959,44.894236,44.433451,170.158275,0.600071,0.019273,0
-78,-81,22,24,-65,-65,40,39,4236.664409,4267.146079,4236.664409,4238.3395,34.786934,31.970207,13.228711,-0.046026,43.74261,44.454404,169.97977,0.599504,0.019273,0
-81,-81,25,24,-66,-64,40,40,4236.039948,4164.676585,4236.039948,4228.681343,34.787083,31.970318,13.247984,-0.046093,44.256783,44.214379,169.800949,0.598931,0.019273,0
-82,-81,24,24,-64,-64,40,40,4235.455954,4198.529634,4235.455954,4233.430758,34.787135,31.970282,13.267257,-0.04616,44.546804,44.227769,169.621818,0.598352,0.019273,0
-80,-81,24,26,-65,-65,40,40,4234.912626,4233.574048,4234.912626,4231.545823,34.787231,31.970315,13.28653,-0.046227,44.948004,44.160541,169.442378,0.597765,0.019273,0
-81,-81,25,25,-65,-63,40,40,4234.41016,4207.407907,4234.41016,4237.547585,34.787394,31.970286,13.305803,-0.046294,44.159137,43.970186,169.262634,0.597172,0.019273,0
-82,-81,24,24,-65,-64,40,39,4233.948753,4279.086299,4233.948753,4239.194428,34.787524,31.970292,13.325076,-0.046361,44.924507,44.097063,169.082588,0.596573,0.019273,0
-81,-81,24,24,-65,-65,40,41,4233.528599,4168.184535,4233.528599,4237.040979,34.787774,31.970353,13.344349,-0.046428,44.221036,44.050371,168.902244,0.595967,0.019273,0
-82,-81,23,24,-65,-65,40,40,4233.149894,4217.965623,4233.149894,4227.04609,34.787801,31.970449,13.363622,-0.046495,44.247387,44.089066,168.721606,0.595354,0.019273,0
-81,-81,22,24,-66,-66,38,39,4232.81283,4117.419513,4232.81283,4230.347786,34.787938,31.970442,13.382895,-0.046562,44.23514,43.888849,168.540676,0.594735,0.019273,0
